516484,Pulivendla,Cuddapah
516289,Kamalapuram,Cuddapah
516396,Pulivendla,Cuddapah
516218,Cuddapah,Cuddapah
516339,Kamalapuram,Cuddapah
516216,Cuddapah,Cuddapah
516454,Pulivedla,Cuddapah
516350,Pulivendla,Cuddapah
516474,Muddanur,Cuddapah
516401,Pulivendla,Cuddapah
516329,Pulivendla,Cuddapah
516293,Cuddapah,Cuddapah
516349,Pulivendla,Cuddapah
516444,Muddanur,Cuddapah
516321,Kamalapuram,Cuddapah
516390,Pulivendla,Cuddapah
516391,Pulivendla,Cuddapah
516464,Muddanur,Cuddapah
516310,Kamalapuram,Cuddapah
516433,Jammalmadugu,Cuddapah
516431,Proddatur,Cuddapah
516175,Proddatur,Cuddapah
516434,Jammalamadugu,Cuddapah
516434,Jammalamadugu,Cuddapah
516362,Proddatur,Cuddapah
516359,Proddatur,Cuddapah
516360,Proddatur,Cuddapah
516360,Proddatur,Cuddapah
516380,Muddanur,Cuddapah
516439,Mylavaram,Cuddapah
516172,Proddatur,Cuddapah
516173,Proddatur,Cuddapah
516411,Jammalamadugu,Cuddapah
516360,Proddatur,Cuddapah
516360,Proddatur,Cuddapah
516432,Jammalamadugu,Cuddapah
516309,Kamalapuram,Cuddapah
516309,Yerraguntla,Cuddapah
516361,Proddatur,Cuddapah
516434,Jammalamadugu,Cuddapah
516355,Proddatur,Cuddapah
516311,Yerraguntla,Cuddapah
516312,Yerraguntla,Cuddapah
516360,Proddatur,Cuddapah
522004,Guntur,Guntur
530048,Visakhapatnam (Rural),Visakhapatnam
522265,Repalle,Guntur
531036,Chodavaram,Visakhapatnam
530016,Visakhapatnam (Urban),Visakhapatnam
530020,Visakhapatnam (Urban),Visakhapatnam
530017,Visakhapatnam (Urban),Visakhapatnam
530002,Visakhapatnam (Urban),Visakhapatnam
531019,Paravada,Visakhapatnam
530051,Pendurthi,Visakhapatnam
530049,Visakhapatnam (Rural),Visakhapatnam
515413,Tadpatri,Ananthapur
532410,Etcherla,Srikakulam
535006,Denkada,Vizianagaram
518007,Kurnool,Kurnool
518674,Allagadda,Kurnool
516356,Chapad,Cuddapah
516360,Proddatur,Cuddapah
516002,Cuddapah,Cuddapah
515202,Hindupur,Ananthapur
515134,Puttaparthi,Ananthapur
522005,Guntur,Guntur
535213,Denkada,Vizianagaram
522102,Bapatla,Guntur
530003,Visakhapatnam,Visakhapatnam
530003,Visakhapatnam,Visakhapatnam
530003,Visakhapatnam,Visakhapatnam
530003,Visakhapatnam,Visakhapatnam
530001,Visakhapatnam,Visakhapatnam
530022,Visakhapatnam,Visakhapatnam
530002,Visakhapatnam,Visakhapatnam
530001,Visakhapatnam,Visakhapatnam
530004,Visakhapatnam,Visakhapatnam
530016,Visakhapatnam,Visakhapatnam
530012,Visakhapatnam,Visakhapatnam
530004,Visakhapatnam,Visakhapatnam
530008,Visakhapatnam,Visakhapatnam
530009,Visakhapatnam,Visakhapatnam
530007,Visakhapatnam,Visakhapatnam
530005,Visakhapatnam,Visakhapatnam
530014,Visakhapatnam,Visakhapatnam
530032,Visakhapatnam,Visakhapatnam
521226,A.Konduru,Krishna
530002,Visakhapatnam,Visakhapatnam
521202,Nuzvid,Krishna
